web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519862-2260","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How a traditional company seeded new analytics capabilities","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2258","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Grounded theory methodology in information systems research","",""
"1554519870-2287","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","An attraction-selection-attrition theory of online community size and resilience.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2282","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Role of Digital Capabilities in Unleashing the Power of Managerial Improvisation.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2281","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Coping with Information Technology: Mixed Emotions, Vacillation, and Nonconforming Use Patterns.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2271","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","The Business Transformation Payoffs of Cloud Services at Mohawk.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2278","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Is IT changing the world? Conceptions of causality for information systems theorizing","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2269","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Three Types of Chief Digital Officers and the Reasons Organizations Adopt the Role.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2275","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How a Latecomer Company Used IT to Redeploy Slack Resources.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2300","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Stepwise Evolution of Capabilities for Harnessing Digital Data Streams in Data-Driven Industrial Services.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2288","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","A dramaturgical model of the production of performance data","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2255","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Changes in employees' job characteristics during an enterprise system implementation: a latent growth modeling perspective","",""
"1554519862-2259","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How LEGO Built the Foundations and Enterprise Capabilities for Digital Leadership.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2279","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Theorization and translation in information technology institutionalization: Evidence from Danish home care","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2268","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Options for Transforming the IT Function Using Bimodal IT.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2266","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How Commonwealth Bank of Australia Gained Benefits Using a Standards-Based, Multi-Provider Cloud Model.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2253","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Visions and voices on emerging challenges in digital business strategy","",""
"1554519870-2286","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","A Nomological Network of Knowledge Management System Use: Antecedents and Consequences.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2289","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How GoGet CarShare's Product-Service System is Facilitating Collaborative Consumption.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2283","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Using a digital services capability model to assess readiness for the digital consumer","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2294","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Work Harder or Work Smarter? Information Technology and Resource Allocation in Healthcare Processes.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2298","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Person-Organization and Person-Job Fit Perceptions of New IT Employees: Work Outcomes and Gender Differences.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2254","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Support structures and their impacts on employee outcomes: A longitudinal field study of an enterprise system implementation.","",""
