web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519729-2144","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Internal crowdsourcing: conceptual framework, structured review, and research agenda","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2135","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Influence of firm size on the adoption of enterprise information systems: insights from Iberian firms","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519729-2140","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Developing enterprise social software in China: insights from Mingdao","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519760-2219","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Antipatterns for architectural knowledge management","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=100&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519748-2188","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Managing dynamic risks in global it projects: Agile risk-management using the principles of service-oriented architecture","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=70&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519721-2122","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The Commonwealth Bank of Australia–strategizing from outsourcing to the cloud part 1: perennial challenges amidst turbulent technology","",""
"1554519756-2216","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A multi-case investigation of electronic health record implementation in small-and medium-size physician practices","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519760-2218","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A Proactive Decision Support System for Online Event Streams","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=100&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519752-2205","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Cloud computing: a review of the concepts and deployment models","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=80&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2168","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The City of Pittsburgh goes to the cloud: a case study of cloud solution strategic selection and deployment","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519737-2159","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Adopting Cloud Based Software Development using the Human Cloud","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2128","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The role of enterprise systems in fostering innovation in contemporary firms","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519721-2120","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Rethinking the role of enterprise architecture during times of economic downturn: a dynamic capabilities approach","",""
"1554519721-2117","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Exploring enterprise social systems & organisational change: Implementation in a digital age","",""
"1554519745-2181","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Is there a prescription for strategic IT decisions?","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519745-2179","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Modeling Process Chain of Meteorological Reanalysis Precipitation Data Using Work Context","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519756-2211","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","THE FREEMIUM (TWO-TIERED) MODEL FOR INDIVIDUAL CLOUD SERVICES: FACTORS BRIDGING THE FREE TIER AND THE PAYING TIER","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2132","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Identifying generative mechanisms through affordances: a framework for critical realist data analysis","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2171","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Evaluating the drivers to information and communication technology for effective sustainability initiatives in supply chains","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519752-2199","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The evolution of design principles enabling knowledge reuse for projects: An action design research project","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=80&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519756-2210","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","ACHIEVING KNOWLEDGE EXAMINING A TASK","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
